TotalE2014,2014_GDP_per_Capita,Count,StateCodes
25804.2,60310,86774,WA
26448.1,48893,27356,WI
66413.6,40499,207228,FL
5841.2,66193,3836,WY
6360.8,52110,7198,NH
39116.9,59212,53540,NJ
162555.8,56060,141080,TX
8209.6,76357,5794,ND
29614.6,44570,48724,TN
6890.6,72265,8316,AK
10513,45995,39220,NV
19994.4,55130,48102,CO
137719.8,59804,604312,CA
3274.9,45569,7608,VT
39727.8,46088,80986,GA
18021.8,52973,13868,IA
20496.9,48491,20264,OK
7557.6,40141,12184,ME
27574.4,67046,100720,MA
26719,45040,35782,MO
40740.1,43351,56324,MI
14646.3,49348,11836,KS
15948.5,33247,10590,MS
21875.7,37995,22726,SC
22467,40719,24464,KY
3848.5,68297,4154,DE
2320.3,173523,39920,DC
8756.3,37765,10646,WV
7378.6,52658,34062,HI
9019.7,42649,14456,NM
45399.7,49921,22402,LA
37283.2,45665,54016,NC
10330.1,57000,14290,NE
68056.2,68589,356292,NY
55665.8,51981,70582,PA
4203.7,49439,5792,RI
33979.6,53600,33404,VA
24146.5,38479,22244,AL
13884.9,37977,14542,AR
51550,56965,60848,IL
34151.9,47479,27718,IN
22609.6,40602,47532,AZ
6980.2,37614,9822,ID
15483.4,66084,23250,CT
22951.3,56848,39692,MD
51385.5,49157,55688,OH
10755.3,46262,14646,UT
25312.2,56534,39082,MN
5527.5,42169,8572,MT
14866.2,45910,62020,OR
4819.4,51938,4276,SD
