StateCodes,TotalE2014,2014_GDP_per_Capita,State
AL,24146.5,38479,Alabama
AK,6890.6,72265,Alaska
AZ,22609.6,40602,Arizona
AR,13884.9,37977,Arkansas
CA,137719.8,59804,California
CO,19994.4,55130,Colorado
CT,15483.4,66084,Connecticut
DE,3848.5,68297,Delaware
FL,66413.6,40499,Florida
GA,39727.8,46088,Georgia
HI,7378.6,52658,Hawaii
ID,6980.2,37614,Idaho
IL,51550,56965,Illinois
IN,34151.9,47479,Indiana
IA,18021.8,52973,Iowa
KS,14646.3,49348,Kansas
KY,22467,40719,Kentucky
LA,45399.7,49921,Louisiana
ME,7557.6,40141,Maine
MD,22951.3,56848,Maryland
MA,27574.4,67046,Massachusetts
MI,40740.1,43351,Michigan
MN,25312.2,56534,Minnesota
MS,15948.5,33247,Mississippi
MO,26719,45040,Missouri
MT,5527.5,42169,Montana
NE,10330.1,57000,Nebraska
NV,10513,45995,Nevada
NH,6360.8,52110,New Hampshire
NJ,39116.9,59212,New Jersey
NM,9019.7,42649,New Mexico
NY,68056.2,68589,New York
NC,37283.2,45665,North Carolina
ND,8209.6,76357,North Dakota
OH,51385.5,49157,Ohio
OK,20496.9,48491,Oklahoma
OR,14866.2,45910,Oregon
PA,55665.8,51981,Pennsylvania
RI,4203.7,49439,Rhode Island
SC,21875.7,37995,South Carolina
SD,4819.4,51938,South Dakota
TN,29614.6,44570,Tennessee
TX,162555.8,56060,Texas
UT,10755.3,46262,Utah
VT,3274.9,45569,Vermont
VA,33979.6,53600,Virginia
WA,25804.2,60310,Washington
WV,8756.3,37765,West Virginia
WI,26448.1,48893,Wisconsin
WY,5841.2,66193,Wyoming
DC,2320.3,173523,District of Columbia
