TotalP2014,2014_GDP_per_Capita,Count,StateCodes
1027404,60310,86774,WA
298603,48893,27356,WI
553738,40499,207228,FL
9361755,66193,3836,WY
161033,52110,7198,NH
388386,59212,53540,NJ
17597105,56060,141080,TX
3261360,76357,5794,ND
499501,44570,48724,TN
1475129,72265,8316,AK
71140,45995,39220,NV
3041634,55130,48102,CO
2413494,59804,604312,CA
85874,45569,7608,VT
597955,46088,80986,GA
757014,52973,13868,IA
3572829,48491,20264,OK
151257,40141,12184,ME
124671,67046,100720,MA
199586,45040,35782,MO
682788,43351,56324,MI
880650,49348,11836,KS
402842,33247,10590,MS
675110,37995,22726,SC
2055121,40719,24464,KY
4189,68297,4154,DE
360,173523,39920,DC
4154063,37765,10646,WV
27166,52658,34062,HI
2514744,42649,14456,NM
2852411,49921,22402,LA
595660,45665,54016,NC
401699,57000,14290,NE
871720,68589,356292,NY
7087392,51981,70582,PA
4304,49439,5792,RI
979780,53600,33404,VA
1353725,38479,22244,AL
1454325,37977,14542,AR
2683815,56965,60848,IL
1123098,47479,27718,IN
635050,40602,47532,AZ
154936,37614,9822,ID
197271,66084,23250,CT
250058,56848,39692,MD
1547368,49157,55688,OH
1170681,46262,14646,UT
466967,56534,39082,MN
1161804,42169,8572,MT
479935,45910,62020,OR
249789,51938,4276,SD
